"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","370","740","AUT","NUMBER","CORRECTED","P1Y","2009",0,NA,"Killed","Unknown Age","Total"
"1010","310","740","ISR","NUMBER","CORRECTED","P1Y","2007",66,NA,"Killed","65 Years and more","Total"
"1010","230","740","DEU","NUMBER","CORRECTED","P1Y","2005",571,NA,"Killed","21-24 Years","Total"
"1010","150","740","DNK","NUMBER","CORRECTED","P1Y","2014",3,NA,"Killed","15-17 Years","Total"
"1010","310","740","FIN","NUMBER","CORRECTED","P1Y","2005",91,NA,"Killed","65 Years and more","Total"
"1010","110","740","GBR","NUMBER","CORRECTED","P1Y","2007",3059,"f","Killed","Total","Total"
"1010","230","740","DEU","NUMBER","CORRECTED","P1Y","2011",394,NA,"Killed","21-24 Years","Total"
"1010","230","740","GBR","NUMBER","CORRECTED","P1Y","2008",270,"f","Killed","21-24 Years","Total"
"1010","120","740","GBR","NUMBER","CORRECTED","P1Y","2006",37,"f","Killed","00-05 Years","Total"
"1010","230","740","GBR","NUMBER","CORRECTED","P1Y","2010",156,"f","Killed","21-24 Years","Total"
"1010","110","740","FRA","NUMBER","CORRECTED","P1Y","2012",3653,NA,"Killed","Total","Total"
"1010","110","740","HUN","NUMBER","CORRECTED","P1Y","2009",822,NA,"Killed","Total","Total"
"1010","140","740","IRL","NUMBER","CORRECTED","P1Y","2007",7,NA,"Killed","10-14 Years","Total"
"1010","150","740","JPN","NUMBER","CORRECTED","P1Y","2015",78,NA,"Killed","15-17 Years","Total"
"1010","150","740","IRL","NUMBER","CORRECTED","P1Y","2005",26,NA,"Killed","15-17 Years","Total"
"1010","120","740","GRC","NUMBER","CORRECTED","P1Y","2011",5,NA,"Killed","00-05 Years","Total"
"1010","150","740","ISR","NUMBER","CORRECTED","P1Y","2006",18,NA,"Killed","15-17 Years","Total"
"1010","130","740","USA","NUMBER","CORRECTED","P1Y","2006",401,"f","Killed","06-09 Years","Total"
"1010","110","740","HUN","NUMBER","CORRECTED","P1Y","2015",644,NA,"Killed","Total","Total"
"1010","130","740","AUT","NUMBER","CORRECTED","P1Y","2010",1,NA,"Killed","06-09 Years","Total"
"1010","110","740","NZL","NUMBER","CORRECTED","P1Y","2008",365,"f","Killed","Total","Total"
"1010","370","740","KOR","NUMBER","CORRECTED","P1Y","2006",3,NA,"Killed","Unknown Age","Total"
"1010","370","740","ITA","NUMBER","CORRECTED","P1Y","2010",94,NA,"Killed","Unknown Age","Total"
"1010","120","740","GRC","NUMBER","CORRECTED","P1Y","2013",5,NA,"Killed","00-05 Years","Total"
"1010","240","740","LUX","NUMBER","CORRECTED","P1Y","2014",27,NA,"Killed","25-64 Years","Total"
"1010","240","740","SVN","NUMBER","CORRECTED","P1Y","2012",81,NA,"Killed","25-64 Years","Total"
"1010","150","740","AUS","NUMBER","CORRECTED","P1Y","2010",53,NA,"Killed","15-17 Years","Total"
